21Z2:acc 0.9439, nmi 0.8866, ari 0.8818, f1 0.9446
21P:acc 0.9431, nmi 0.8846, ari 0.8802, f1 0.9435
22Q:acc 0.9424, nmi 0.8836, ari 0.8786, f1 0.9428
22Z:acc 0.9399, nmi 0.8801, ari 0.8738, f1 0.9405
22Z2:acc 0.9443, nmi 0.8874, ari 0.8827, f1 0.9449
22P:acc 0.9431, nmi 0.8845, ari 0.8801, f1 0.9435
23Q:acc 0.9425, nmi 0.8838, ari 0.8788, f1 0.9429
23Z:acc 0.9415, nmi 0.8825, ari 0.8773, f1 0.9421
23Z2:acc 0.9453, nmi 0.8895, ari 0.8849, f1 0.9459
23P:acc 0.9431, nmi 0.8847, ari 0.8801, f1 0.9435
24Q:acc 0.9425, nmi 0.8842, ari 0.8789, f1 0.9430
24Z:acc 0.9432, nmi 0.8854, ari 0.8809, f1 0.9437
24Z2:acc 0.9458, nmi 0.8904, ari 0.8859, f1 0.9463
24P:acc 0.9431, nmi 0.8847, ari 0.8801, f1 0.9435
25Q:acc 0.9425, nmi 0.8842, ari 0.8787, f1 0.9429
25Z:acc 0.9442, nmi 0.8871, ari 0.8831, f1 0.9446
25Z2:acc 0.9462, nmi 0.8910, ari 0.8869, f1 0.9467
25P:acc 0.9432, nmi 0.8851, ari 0.8803, f1 0.9436
26Q:acc 0.9427, nmi 0.8846, ari 0.8792, f1 0.9432
26Z:acc 0.9443, nmi 0.8874, ari 0.8833, f1 0.9447
26Z2:acc 0.9462, nmi 0.8909, ari 0.8870, f1 0.9466
26P:acc 0.9432, nmi 0.8852, ari 0.8804, f1 0.9437
27Q:acc 0.9427, nmi 0.8846, ari 0.8791, f1 0.9432
27Z:acc 0.9445, nmi 0.8876, ari 0.8837, f1 0.9448
27Z2:acc 0.9468, nmi 0.8919, ari 0.8882, f1 0.9472
27P:acc 0.9434, nmi 0.8854, ari 0.8807, f1 0.9438
28Q:acc 0.9428, nmi 0.8849, ari 0.8794, f1 0.9433
28Z:acc 0.9447, nmi 0.8883, ari 0.8842, f1 0.9451
28Z2:acc 0.9467, nmi 0.8916, ari 0.8881, f1 0.9471
28P:acc 0.9438, nmi 0.8859, ari 0.8815, f1 0.9442
29Q:acc 0.9432, nmi 0.8856, ari 0.8803, f1 0.9437
29Z:acc 0.9448, nmi 0.8887, ari 0.8845, f1 0.9452
29Z2:acc 0.9469, nmi 0.8922, ari 0.8886, f1 0.9473
29P:acc 0.9439, nmi 0.8862, ari 0.8818, f1 0.9443
30Q:acc 0.9433, nmi 0.8856, ari 0.8804, f1 0.9438
30Z:acc 0.9447, nmi 0.8885, ari 0.8842, f1 0.9451
30Z2:acc 0.9472, nmi 0.8927, ari 0.8891, f1 0.9475
30P:acc 0.9441, nmi 0.8864, ari 0.8821, f1 0.9445
31Q:acc 0.9435, nmi 0.8860, ari 0.8809, f1 0.9440
31Z:acc 0.9452, nmi 0.8892, ari 0.8852, f1 0.9455
31Z2:acc 0.9473, nmi 0.8929, ari 0.8894, f1 0.9477
31P:acc 0.9442, nmi 0.8868, ari 0.8824, f1 0.9446
32Q:acc 0.9438, nmi 0.8864, ari 0.8814, f1 0.9442
32Z:acc 0.9458, nmi 0.8899, ari 0.8863, f1 0.9461
32Z2:acc 0.9477, nmi 0.8935, ari 0.8901, f1 0.9481
32P:acc 0.9442, nmi 0.8869, ari 0.8824, f1 0.9446
33Q:acc 0.9441, nmi 0.8873, ari 0.8821, f1 0.9445
33Z:acc 0.9461, nmi 0.8902, ari 0.8869, f1 0.9464
33Z2:acc 0.9480, nmi 0.8938, ari 0.8907, f1 0.9484
33P:acc 0.9442, nmi 0.8872, ari 0.8825, f1 0.9446
34Q:acc 0.9442, nmi 0.8873, ari 0.8823, f1 0.9446
34Z:acc 0.9462, nmi 0.8905, ari 0.8873, f1 0.9466
34Z2:acc 0.9481, nmi 0.8938, ari 0.8909, f1 0.9484
34P:acc 0.9442, nmi 0.8871, ari 0.8825, f1 0.9446
35Q:acc 0.9441, nmi 0.8872, ari 0.8822, f1 0.9445
35Z:acc 0.9463, nmi 0.8905, ari 0.8874, f1 0.9466
35Z2:acc 0.9479, nmi 0.8934, ari 0.8905, f1 0.9483
35P:acc 0.9445, nmi 0.8877, ari 0.8831, f1 0.9448
36Q:acc 0.9443, nmi 0.8877, ari 0.8827, f1 0.9447
